plan_id,idx,x,y
0,0,5.5000,5.5000
0,1,6.5000,6.5000
0,2,7.5000,6.5000
0,3,8.5000,7.5000
0,4,9.5000,8.5000
0,5,10.5000,9.5000
0,6,11.5000,9.5000
0,7,12.5000,9.5000
0,8,13.5000,9.5000
0,9,14.5000,9.5000
0,10,15.5000,9.5000
0,11,16.5000,10.5000
0,12,17.5000,11.5000
0,13,18.5000,12.5000
0,14,18.5000,13.5000
0,15,18.5000,14.5000
0,16,18.5000,15.5000
0,17,18.5000,16.5000
0,18,18.5000,17.5000
0,19,18.5000,18.5000
0,20,18.5000,19.5000
0,21,18.5000,20.5000
0,22,18.5000,21.5000
0,23,18.5000,22.5000
0,24,18.5000,23.5000
0,25,18.5000,24.5000
0,26,18.5000,25.5000
0,27,18.5000,26.5000
0,28,18.5000,27.5000
0,29,19.5000,28.5000
0,30,20.5000,29.5000
0,31,21.5000,30.5000
0,32,22.5000,31.5000
0,33,23.5000,32.5000
0,34,24.5000,33.5000
0,35,25.5000,33.5000
0,36,26.5000,33.5000
0,37,27.5000,33.5000
0,38,28.5000,33.5000
0,39,29.5000,33.5000
0,40,30.5000,33.5000
0,41,31.5000,33.5000
0,42,32.5000,34.5000
0,43,33.5000,35.5000
0,44,34.5000,36.5000
0,45,35.5000,37.5000
0,46,36.5000,38.5000
0,47,37.5000,39.5000
0,48,38.5000,40.5000
0,49,39.5000,41.5000
0,50,40.5000,42.5000
0,51,41.5000,42.5000
0,52,42.5000,42.5000
0,53,43.5000,42.5000
0,54,44.5000,43.5000
0,55,45.5000,43.5000
0,56,46.5000,43.5000
0,57,47.5000,43.5000
0,58,48.5000,43.5000
0,59,49.5000,43.5000
0,60,50.5000,43.5000
0,61,51.5000,43.5000
0,62,52.5000,43.5000
0,63,53.5000,43.5000
0,64,54.5000,44.5000
0,65,55.5000,44.5000
0,66,56.5000,45.5000
0,67,57.5000,45.5000
0,68,58.5000,46.5000
0,69,59.5000,46.5000
0,70,60.5000,47.5000
0,71,61.5000,47.5000
0,72,62.5000,47.5000
0,73,63.5000,48.5000
0,74,64.5000,48.5000
0,75,65.5000,49.5000
0,76,66.5000,49.5000
0,77,67.5000,50.5000
0,78,68.5000,50.5000
0,79,69.5000,51.5000
0,80,70.5000,51.5000
0,81,71.5000,52.5000
0,82,72.5000,52.5000
